Comunidades y Ciudades Autónomas;Sexo;Características demográficas;Tipo de uso de TIC;Total
Total Nacional;Mujeres;Total Personas;Personas que han utilizado Internet en los últimos 3 meses;93,2
Total Nacional;Mujeres;Total Personas;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;91,4
Total Nacional;Mujeres;Total Personas;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);83,8
Total Nacional;Mujeres;Total Personas;Personas que han comprado a través de Internet en los últimos 3 meses;53,4
Total Nacional;Mujeres;Edad: De 16 a 24 años;Total Personas;2.081.983
Total Nacional;Mujeres;Edad: De 16 a 24 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,6
Total Nacional;Mujeres;Edad: De 16 a 24 años;Personas que han utilizado Internet en los últimos 3 meses;99,6
Total Nacional;Mujeres;Edad: De 16 a 24 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;99,6
Total Nacional;Mujeres;Edad: De 16 a 24 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);96,9
Total Nacional;Mujeres;Edad: De 16 a 24 años;Personas que han comprado a través de Internet en los últimos 3 meses;64,1
Total Nacional;Mujeres;Edad: De 25 a 34 años;Total Personas;2.630.580
Total Nacional;Mujeres;Edad: De 25 a 34 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,9
Total Nacional;Mujeres;Edad: De 25 a 34 años;Personas que han utilizado Internet en los últimos 3 meses;99,7
Total Nacional;Mujeres;Edad: De 25 a 34 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;99,6
Total Nacional;Mujeres;Edad: De 25 a 34 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);97,4
Total Nacional;Mujeres;Edad: De 25 a 34 años;Personas que han comprado a través de Internet en los últimos 3 meses;74,1
Total Nacional;Mujeres;Edad: De 35 a 44 años;Total Personas;3.585.804
Total Nacional;Mujeres;Edad: De 35 a 44 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,6
Total Nacional;Mujeres;Edad: De 35 a 44 años;Personas que han utilizado Internet en los últimos 3 meses;99,2
Total Nacional;Mujeres;Edad: De 35 a 44 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;98,3
Total Nacional;Mujeres;Edad: De 35 a 44 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);92,7
Total Nacional;Mujeres;Edad: De 35 a 44 años;Personas que han comprado a través de Internet en los últimos 3 meses;70,3
